code,name,market,market_cap,sector_krx,sector_override,sector_display,sector_kis,sector_kis_lcls
079550,LIG넥스원,KOSPI,16082000000000,금속,,금속,무기 및 총포탄 제조업,무기 및 총포탄 제조업
086280,현대글로비스,KOSPI,15262500000000,운송·창고,,운송·창고,운수창고,운수창고
064350,현대로템,KOSPI,15203500000000,운송장비·부품,,운송장비·부품,그외 기타 운송장비 제조업,그외 기타 운송장비 제조업
272210,한화시스템,KOSPI,14395700000000,전기·전자,,전기·전자,전자부품 제조업,전자부품 제조업
000720,현대건설,KOSPI,14153300000000,건설,,건설,건설업,건설업
011070,LG이노텍,KOSPI,14058300000000,전기·전자,,전기·전자,"전기,전자","전기,전자"
030200,KT,KOSPI,13634400000000,통신,,통신,통신업,통신업
047810,한국항공우주,KOSPI,13256600000000,운송장비·부품,,운송장비·부품,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업"
086520,에코프로,KOSDAQ,12247000000000,금융,,금융,제조,화학
078930,GS,KOSPI,12030000000000,기타금융,,기타금융,서비스업,서비스업
005830,DB손해보험,KOSPI,11908000000000,보험,,보험,금융업,보험
247540,에코프로비엠,KOSDAQ,11475500000000,전기·전자,,전기·전자,일차전지 및 축전지 제조업,일차전지 및 축전지 제조업
307950,현대오토에버,KOSPI,11339800000000,IT 서비스,,IT 서비스,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
003230,삼양식품,KOSPI,11269400000000,음식료·담배,,음식료·담배,음식료품,음식료품
003490,대한항공,KOSPI,10531100000000,운송·창고,,운송·창고,운수창고,운수창고
071050,한국금융지주,KOSPI,10521100000000,기타금융,,기타금융,금융업,금융업
323410,카카오뱅크,KOSPI,10258100000000,은행,,은행,은행 및 저축기관,은행 및 저축기관
259960,크래프톤,KOSPI,10064500000000,IT 서비스,,IT 서비스,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
006260,LS,KOSPI,9968400000000,기타금융,,기타금융,서비스업,서비스업
443060,HD현대마린솔루션,KOSPI,9796100000000,일반서비스,,일반서비스,"건축기술, 엔지니어링 및 관련기술 서비스업","건축기술, 엔지니어링 및 관련기술 서비스업"
